Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig01_pressure_drop_vs_diameter.png,1,Curve 1,Pressure Drop (bar),0.23946641471921737,75.79305625387994,6,1
fig02_pressure_drop_vs_flow.png,1,Curve 1,Pressure Drop (bar),0.3547248651697288,55.30890777661914,10,0
fig03_liquid_holdup.png,1,Curve 1,Average Liquid Holdup (-),0.07954752245524782,0.16627909546440167,12,0
fig04_pipeline_capacity.png,1,Bars 1,Maximum Throughput (tonnes/hr),33.423614501953125,426.8830871582031,6,0
