Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig01_density_vs_pressure.png,1,Curve 1,Gas Density (kg/m³),8.063434873550621,204.14081652356674,30,0
fig02_z_factor_vs_pressure.png,1,Curve 1,Compressibility Factor Z (-),0.7503152733882255,0.974419604446793,30,0
fig02_z_factor_vs_pressure.png,1,Ideal gas (Z=1),Compressibility Factor Z (-),1.0,1.0,2,0
fig03_phase_envelope.png,1,Dew branch,Pressure (bara),1.6025742137692727,87.50387243752802,27,0
fig03_phase_envelope.png,1,Bubble branch,Pressure (bara),1.1051709180756477,77.12925751862993,39,0
fig04_production_sensitivity.png,1,Bars 1,Actual volumetric flow (m³/hr),446.577955508485,2086.534346811014,5,0
