Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig01_hydrate_equilibrium.png,1,Hydrate equilibrium curve,Pressure (bara),20.0,200.0,11,0
fig01_hydrate_equilibrium.png,1,Design operating point,Pressure (bara),100.0,100.0,1,0
fig02_meg_inhibition.png,1,Curve 1,Hydrate Formation Temperature (°C),-1.0264820163849322,20.346560197828808,8,0
fig02_meg_inhibition.png,1,Seabed T (4 °C),Hydrate Formation Temperature (°C),4.0,4.0,2,0
fig02_meg_inhibition.png,2,Bars 1,Hydrate Temperature Depression (°C),0.0,21.37304221421374,8,0
fig03_water_dewpoint.png,1,Water dew point,Water Dew Point Temperature (°C),-24.939665222167946,-11.656355285644509,9,0
fig03_water_dewpoint.png,1,Curve 2,Water Dew Point Temperature (°C),-18.0,-18.0,2,0
fig04_hydrate_operating_envelope.png,1,Hydrate curve (uninhibited),Pressure (bara),20.0,200.0,11,0
fig04_hydrate_operating_envelope.png,1,Assumed normal-operation path,Pressure (bara),60.0,180.0,10,0
fig04_hydrate_operating_envelope.png,1,Assumed shutdown path,Pressure (bara),170.0,180.0,6,0
