Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig02_souders_brown.png,1,Gas density,Density (kg/m³),8.538807658868194,66.70090756624288,8,0
fig02_souders_brown.png,1,Oil density,Density (kg/m³),618.3077105890338,692.6146931376953,8,0
fig02_souders_brown.png,2,Curve 1,Maximum Gas Velocity (m/s),0.30770369609081294,0.9577172346209238,8,0
fig03_separator_optimization.png,1,Curve 1,Final-separator oil rate (tonnes/hr),31.231548765075043,32.023029143766216,14,0
fig03_separator_optimization.png,1,Curve 2,Final-separator oil rate (tonnes/hr),0.0,1.0,2,0
fig04_separation_train.png,1,Gas,Flow Rate (tonnes/hr),1.2921665474331698,11.053068840333852,3,0
fig04_separation_train.png,1,Oil,Flow Rate (tonnes/hr),32.023029143766216,37.15977873400135,3,0
fig04_separation_train.png,1,Water,Flow Rate (tonnes/hr),2.3156406181994026e-29,1.7871524256628464,3,0
