panel,series,point,x_label,y_label,x,y,finite
1,Gas density,0,Pressure (bara),Density (kg/m³),10.0,8.538807658868194,True
1,Gas density,1,Pressure (bara),Density (kg/m³),20.0,16.571068978935706,True
1,Gas density,2,Pressure (bara),Density (kg/m³),30.0,24.5766067121314,True
1,Gas density,3,Pressure (bara),Density (kg/m³),40.0,32.67496352531806,True
1,Gas density,4,Pressure (bara),Density (kg/m³),50.0,40.91740365183474,True
1,Gas density,5,Pressure (bara),Density (kg/m³),60.0,49.329094968889045,True
1,Gas density,6,Pressure (bara),Density (kg/m³),70.0,57.922163337989204,True
1,Gas density,7,Pressure (bara),Density (kg/m³),80.0,66.70090756624288,True
1,Oil density,0,Pressure (bara),Density (kg/m³),10.0,692.6146931376953,True
1,Oil density,1,Pressure (bara),Density (kg/m³),20.0,677.2883909894127,True
1,Oil density,2,Pressure (bara),Density (kg/m³),30.0,665.1984951418082,True
1,Oil density,3,Pressure (bara),Density (kg/m³),40.0,654.6236602550232,True
1,Oil density,4,Pressure (bara),Density (kg/m³),50.0,644.9046012058168,True
1,Oil density,5,Pressure (bara),Density (kg/m³),60.0,635.7204203640655,True
1,Oil density,6,Pressure (bara),Density (kg/m³),70.0,626.8916797242372,True
1,Oil density,7,Pressure (bara),Density (kg/m³),80.0,618.3077105890338,True
2,Curve 1,0,Pressure (bara),Maximum Gas Velocity (m/s),10.0,0.9577172346209238,True
2,Curve 1,1,Pressure (bara),Maximum Gas Velocity (m/s),20.0,0.6756415686307713,True
2,Curve 1,2,Pressure (bara),Maximum Gas Velocity (m/s),30.0,0.5462905708094495,True
2,Curve 1,3,Pressure (bara),Maximum Gas Velocity (m/s),40.0,0.4668243519741659,True
2,Curve 1,4,Pressure (bara),Maximum Gas Velocity (m/s),50.0,0.4110963397919388,True
2,Curve 1,5,Pressure (bara),Maximum Gas Velocity (m/s),60.0,0.3689147099201019,True
2,Curve 1,6,Pressure (bara),Maximum Gas Velocity (m/s),70.0,0.33535585269349655,True
2,Curve 1,7,Pressure (bara),Maximum Gas Velocity (m/s),80.0,0.30770369609081294,True
