panel,series,point,x_label,y_label,x,y,finite
1,API Gravity,0,Number of Separation Stages,API Gravity (°API),-0.175,66.60359537314491,True
1,API Gravity,1,Number of Separation Stages,API Gravity (°API),0.825,68.0398464182096,True
1,API Gravity,2,Number of Separation Stages,API Gravity (°API),1.825,68.48780337793906,True
1,API Gravity,3,Number of Separation Stages,API Gravity (°API),2.825,68.77431999849824,True
2,Oil Density,0,,Oil Density (kg/m³),0.175,713.5699063600285,True
2,Oil Density,1,,Oil Density (kg/m³),1.175,708.4337616644557,True
2,Oil Density,2,,Oil Density (kg/m³),2.175,706.8469257240399,True
2,Oil Density,3,,Oil Density (kg/m³),3.175,705.8356957649887,True
