Iteration,Rate,RateUnit,BottleneckName,BottleneckUtilization,UtilizationWithinLimits,HardConstraintsOk,Feasible,Score
1,125000.0,kg/hr,export compressor,1.0416666666666698,false,true,false,125000.0
2,140000.0,kg/hr,export compressor,1.1666666666666705,false,true,false,140000.00000000006
3,125000.0,kg/hr,export compressor,1.130373116375347,false,true,false,125000.0
4,125000.0,kg/hr,export compressor,1.0416666666666698,false,true,false,125000.0
5,95000.0,kg/hr,export compressor,0.8919121208823191,true,true,true,95000.00000000001
6,95000.0,kg/hr,export compressor,0.8919121208823191,true,true,true,95000.00000000001
7,95000.0,kg/hr,export compressor,0.8919121208823191,true,true,true,95000.00000000001
8,102500.0,kg/hr,export compressor,0.9089653519456526,true,true,true,102500.0
9,102500.0,kg/hr,export compressor,0.9089653519456526,true,true,true,102500.0
10,109062.5,kg/hr,HP separator,0.9060225608550061,true,true,true,109062.5
11,109062.5,kg/hr,HP separator,0.9060225608550061,true,true,true,109062.5
12,110234.375,kg/hr,HP separator,0.915757760291127,true,true,true,110234.37499999997
13,110234.375,kg/hr,HP separator,0.915757760291127,true,true,true,110234.37499999997
14,113222.65625,kg/hr,HP separator,0.9405825188532363,true,true,true,113222.65625000001
15,113222.65625,kg/hr,HP separator,0.9405825188532363,true,true,true,113222.65625000001
16,113383.7890625,kg/hr,HP separator,0.941921108775703,true,true,true,113383.7890625
17,113383.7890625,kg/hr,HP separator,0.941921108775703,true,true,true,113383.7890625
18,113383.7890625,kg/hr,HP separator,0.941921108775703,true,true,true,113383.7890625
19,114030.1513671875,kg/hr,HP separator,0.9472906797146885,true,true,true,114030.1513671875
20,114191.2841796875,kg/hr,HP separator,0.9486292696371552,true,true,true,114191.28417968751
21,114191.2841796875,kg/hr,HP separator,0.9486292696371552,true,true,true,114191.28417968751
22,114191.2841796875,kg/hr,HP separator,0.9486292696371552,true,true,true,114191.28417968751
23,114292.44995117188,kg/hr,HP separator,0.9494696911509766,true,true,true,114292.4499511719
24,114292.44995117188,kg/hr,HP separator,0.9494696911509766,true,true,true,114292.4499511719
25,114347.72491455078,kg/hr,HP separator,0.9499288807337547,true,true,true,114347.72491455081
26,114347.72491455078,kg/hr,HP separator,0.9499288807337547,true,true,true,114347.72491455081
27,114347.72491455078,kg/hr,HP separator,0.9499288807337547,true,true,true,114347.72491455081
28,114352.28824615479,kg/hr,HP separator,0.9499667900186679,true,true,true,114352.28824615477
29,114352.28824615479,kg/hr,HP separator,0.9499667900186679,true,true,true,114352.28824615477
30,114352.28824615479,kg/hr,HP separator,0.9499667900186679,true,true,true,114352.28824615477
31,114352.28824615479,kg/hr,HP separator,0.9499667900186679,true,true,true,114352.28824615477
32,114352.28824615479,kg/hr,HP separator,0.9499667900186679,true,true,true,114352.28824615477
33,114353.60386967659,kg/hr,HP separator,0.9499777193902885,true,true,true,114353.60386967659
34,114353.60386967659,kg/hr,HP separator,0.9499777193902885,true,true,true,114353.60386967659
35,114355.55662959814,kg/hr,HP separator,0.9499939416898403,true,true,true,114355.55662959814
36,114355.55662959814,kg/hr,HP separator,0.9499939416898403,true,true,true,114355.55662959814
37,114355.72625137866,kg/hr,HP separator,0.9499953508007624,true,true,true,114355.72625137866
38,114355.72625137866,kg/hr,HP separator,0.9499953508007624,true,true,true,114355.72625137866
39,114355.72625137866,kg/hr,HP separator,0.9499953508007624,true,true,true,114355.72625137866
40,114356.15083319135,kg/hr,HP separator,0.9499988779590546,true,true,true,114356.15083319138
41,114356.15083319135,kg/hr,HP separator,0.9499988779590546,true,true,true,114356.15083319138
42,114356.17216775427,kg/hr,HP separator,0.9499990551931664,true,true,true,114356.17216775427
43,114356.17216775427,kg/hr,HP separator,0.9499990551931664,true,true,true,114356.17216775427
44,114356.17216775427,kg/hr,HP separator,0.9499990551931664,true,true,true,114356.17216775427
45,114356.26497910562,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.26497910562
46,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
47,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
48,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
49,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
50,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
51,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
52,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
53,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
54,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
55,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
56,114356.35405390713,kg/hr,HP separator,0.9499998262114194,true,true,true,114356.35405390711
