panel,series,point,x_label,y_label,x,y,finite
1,Wellhead P,0,Well,Pressure (bara),-0.175,280.0,True
1,Wellhead P,1,Well,Pressure (bara),0.825,220.0,True
1,Wellhead P,2,Well,Pressure (bara),1.825,180.0,True
1,Manifold Arrival P,0,Well,Pressure (bara),0.175,278.9584285637799,True
1,Manifold Arrival P,1,Well,Pressure (bara),1.175,218.49472525236192,True
1,Manifold Arrival P,2,Well,Pressure (bara),2.175,177.89067150844247,True
2,Points 1,0,Flow Rate (kg/hr),Flowline Pressure Drop (bar),40000.00000000001,1.0415714362201243,True
2,Points 1,1,Flow Rate (kg/hr),Flowline Pressure Drop (bar),35000.0,1.505274747638083,True
2,Points 1,2,Flow Rate (kg/hr),Flowline Pressure Drop (bar),25000.000000000004,2.109328491557534,True
