Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch15w_choke_sensitivity.png,1,Choke Outlet P,Choke Outlet Pressure (bara),45.610899714267674,141.55213585795497,8,2
ch15w_choke_sensitivity.png,2,Manifold P,Manifold Arrival Pressure (bara),41.41244102644955,140.25356271921115,8,2
ch15w_well_network_comparison.png,1,Wellhead P,Pressure (bara),180.0,280.0,3,0
ch15w_well_network_comparison.png,1,Manifold Arrival P,Pressure (bara),177.89067150844247,278.9584285637799,3,0
ch15w_well_network_comparison.png,2,Points 1,Flowline Pressure Drop (bar),1.0415714362201243,2.109328491557534,3,0
