panel,series,point,x_label,y_label,x,y,finite
1,η_poly = 0.75,0,Compression Ratio (-),Discharge Temperature (°C),1.5,66.5180982049655,True
1,η_poly = 0.75,1,Compression Ratio (-),Discharge Temperature (°C),2.0,93.82929690337915,True
1,η_poly = 0.75,2,Compression Ratio (-),Discharge Temperature (°C),2.5,115.7610364754936,True
1,η_poly = 0.75,3,Compression Ratio (-),Discharge Temperature (°C),3.0,134.1420066419543,True
1,η_poly = 0.75,4,Compression Ratio (-),Discharge Temperature (°C),3.5,149.99540934767293,True
1,η_poly = 0.75,5,Compression Ratio (-),Discharge Temperature (°C),4.0,163.95399763326742,True
1,η_poly = 0.75,6,Compression Ratio (-),Discharge Temperature (°C),4.5,176.43733209171,True
1,η_poly = 0.75,7,Compression Ratio (-),Discharge Temperature (°C),5.0,187.73835435324196,True
1,η_poly = 0.75,8,Compression Ratio (-),Discharge Temperature (°C),5.5,198.069921249277,True
1,η_poly = 0.75,9,Compression Ratio (-),Discharge Temperature (°C),6.0,207.59169253179084,True
1,η_poly = 0.75,10,Compression Ratio (-),Discharge Temperature (°C),6.5,216.42657355202255,True
1,η_poly = 0.75,11,Compression Ratio (-),Discharge Temperature (°C),7.0,224.67124268757942,True
1,η_poly = 0.75,12,Compression Ratio (-),Discharge Temperature (°C),7.5,232.40314999790166,True
1,η_poly = 0.75,13,Compression Ratio (-),Discharge Temperature (°C),8.0,239.6853209252232,True
1,η_poly = 0.75,14,Compression Ratio (-),Discharge Temperature (°C),8.5,246.56974403805634,True
1,η_poly = 0.75,15,Compression Ratio (-),Discharge Temperature (°C),9.0,253.09981660956112,True
1,η_poly = 0.75,16,Compression Ratio (-),Discharge Temperature (°C),9.5,259.3121466275297,True
1,η_poly = 0.75,17,Compression Ratio (-),Discharge Temperature (°C),10.0,265.23790440785024,True
1,η_poly = 0.75,18,Compression Ratio (-),Discharge Temperature (°C),10.5,270.9038533366596,True
1,η_poly = 0.75,19,Compression Ratio (-),Discharge Temperature (°C),11.0,276.33314643220115,True
1,η_poly = 0.75,20,Compression Ratio (-),Discharge Temperature (°C),11.5,281.54595041974983,True
1,η_poly = 0.75,21,Compression Ratio (-),Discharge Temperature (°C),12.0,286.559940175111,True
1,η_poly = 0.65,0,Compression Ratio (-),Discharge Temperature (°C),1.5,72.16447229555303,True
1,η_poly = 0.65,1,Compression Ratio (-),Discharge Temperature (°C),2.0,103.90840605541013,True
1,η_poly = 0.65,2,Compression Ratio (-),Discharge Temperature (°C),2.5,129.50155162185263,True
1,η_poly = 0.65,3,Compression Ratio (-),Discharge Temperature (°C),3.0,151.01167812620014,True
1,η_poly = 0.65,4,Compression Ratio (-),Discharge Temperature (°C),3.5,169.6050765682109,True
1,η_poly = 0.65,5,Compression Ratio (-),Discharge Temperature (°C),4.0,186.00676318764812,True
1,η_poly = 0.65,6,Compression Ratio (-),Discharge Temperature (°C),4.5,200.69921696308836,True
1,η_poly = 0.65,7,Compression Ratio (-),Discharge Temperature (°C),5.0,214.02019272871655,True
1,η_poly = 0.65,8,Compression Ratio (-),Discharge Temperature (°C),5.5,226.21559138070575,True
1,η_poly = 0.65,9,Compression Ratio (-),Discharge Temperature (°C),6.0,237.4701373360499,True
1,η_poly = 0.65,10,Compression Ratio (-),Discharge Temperature (°C),6.5,247.92620051504832,True
1,η_poly = 0.65,11,Compression Ratio (-),Discharge Temperature (°C),7.0,257.6958773930854,True
1,η_poly = 0.65,12,Compression Ratio (-),Discharge Temperature (°C),7.5,266.8690397610078,True
1,η_poly = 0.65,13,Compression Ratio (-),Discharge Temperature (°C),8.0,275.5188688562464,True
1,η_poly = 0.65,14,Compression Ratio (-),Discharge Temperature (°C),8.5,283.70576305744385,True
1,η_poly = 0.65,15,Compression Ratio (-),Discharge Temperature (°C),9.0,291.4801630731131,True
1,η_poly = 0.65,16,Compression Ratio (-),Discharge Temperature (°C),9.5,298.8846350170311,True
1,η_poly = 0.65,17,Compression Ratio (-),Discharge Temperature (°C),10.0,305.95543457858525,True
1,η_poly = 0.65,18,Compression Ratio (-),Discharge Temperature (°C),10.5,312.7237006087008,True
1,η_poly = 0.65,19,Compression Ratio (-),Discharge Temperature (°C),11.0,319.21637820659384,True
1,η_poly = 0.65,20,Compression Ratio (-),Discharge Temperature (°C),11.5,325.45694232951007,True
1,η_poly = 0.65,21,Compression Ratio (-),Discharge Temperature (°C),12.0,331.46597125259643,True
1,Illustrative design limit (150°C),0,Compression Ratio (-),Discharge Temperature (°C),0.0,150.0,True
1,Illustrative design limit (150°C),1,Compression Ratio (-),Discharge Temperature (°C),1.0,150.0,True
1,Illustrative review threshold (200°C),0,Compression Ratio (-),Discharge Temperature (°C),0.0,200.0,True
1,Illustrative review threshold (200°C),1,Compression Ratio (-),Discharge Temperature (°C),1.0,200.0,True
