Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch29_flash_convergence.png,1,T = 25.0 °C,Flash Time (ms),1.4413999961107038,119.38449999433942,40,0
ch29_flash_convergence.png,1,T = 50.0 °C,Flash Time (ms),0.4284000024199486,129.88200000108918,40,0
ch29_flash_convergence.png,1,T = 100.0 °C,Flash Time (ms),0.43259999802103266,19.340500002726912,40,0
ch29_flash_convergence.png,2,T = 25.0 °C,Gas-labelled Phase Fraction (-),0.5191092605932357,1.0,40,0
ch29_flash_convergence.png,2,T = 50.0 °C,Gas-labelled Phase Fraction (-),0.8115600185060224,1.0,40,0
ch29_flash_convergence.png,2,T = 100.0 °C,Gas-labelled Phase Fraction (-),1.0,1.0,40,0
ch29_initial_guess_effect.png,1,Curve 1,Flash Time (ms),0.2317000034963712,2.210100006777793,30,0
ch29_initial_guess_effect.png,1,Target T = 40 °C,Flash Time (ms),0.0,1.0,2,0
ch29_initial_guess_effect.png,2,Curve 1,Flash Time (ms),0.3907999998773448,2.209400001447648,30,0
ch29_initial_guess_effect.png,2,Target P = 80 bara,Flash Time (ms),0.0,1.0,2,0
ch29_recycle_convergence.png,1,Flow change / fresh-feed flow,Normalized residual (-),3.910541250661481e-08,0.2659261784120015,16,0
ch29_recycle_convergence.png,1,Temperature change / 303.15 K,Normalized residual (-),1e-16,0.06597394029358404,16,0
ch29_recycle_convergence.png,1,Maximum mole-fraction change,Normalized residual (-),4.440892098500626e-16,0.06182320737290725,16,0
ch29_recycle_convergence.png,1,Tolerance (1e-7),Normalized residual (-),1e-07,1e-07,2,0
ch29_component_scaling.png,1,2 comp (C1-C3),Flash Time (ms),0.1810000030673109,0.938299999688752,30,0
ch29_component_scaling.png,1,4 comp,Flash Time (ms),0.18789999739965424,4.1035999965970404,30,0
ch29_component_scaling.png,1,6 comp,Flash Time (ms),0.21919999562669545,15.117999995709397,30,0
ch29_component_scaling.png,1,8 comp,Flash Time (ms),0.23739999596728012,18.771600000036415,30,0
