Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00000	100.00000	75.175486	0.013302209	682.08000	815.10209	4.0602310	1.8073660	3.0022611	444.53041	0.32605836	13.753396	0.044401197	supercritical
350.00000	100.00000	59.261246	0.016874434	789.98196	958.72631	4.5034112	1.9048024	2.8021027	487.28822	0.23779381	14.613499	0.048890505	supercritical
400.00000	100.00000	49.735904	0.020106200	897.68002	1098.7420	4.8773144	2.0508617	2.8187317	522.58245	0.17355114	15.714476	0.055594264	supercritical
