Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00000	50.000000	34.971714	0.028594538	722.46210	865.43479	4.5474635	1.7616353	2.5702629	439.25474	0.39428295	12.067157	0.038144146	supercritical
350.00000	50.000000	28.742840	0.034791274	819.53584	993.49221	4.9422536	1.8780455	2.5751934	479.57185	0.27848687	13.460009	0.044665479	supercritical
400.00000	50.000000	24.597747	0.040654129	921.20742	1124.4781	5.2919201	2.0329650	2.6743088	513.11101	0.20089481	14.824850	0.052345887	supercritical
