Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00000	1.0000000	0.64425426	1.5521822	758.87960	914.09782	6.6951351	1.7128402	2.2358107	449.74171	0.43216385	11.135519	0.034213979	vapor
350.00000	1.0000000	0.55178767	1.8122913	847.86538	1029.0945	7.0494053	1.8486947	2.3702045	481.81067	0.30857928	12.699881	0.041581313	vapor
400.00000	1.0000000	0.48259833	2.0721166	944.39551	1151.6072	7.3763476	2.0133630	2.5339916	510.56120	0.22394505	14.175555	0.049779402	vapor
