panel,series,point,x_label,y_label,x,y,finite
1,Optimal Rate (1000 kg/hr),0,Scenario,Optimal Rate (1000 kg/hr),-0.175,185.0,True
1,Optimal Rate (1000 kg/hr),1,Scenario,Optimal Rate (1000 kg/hr),0.825,151.66666666666669,True
1,Optimal Rate (1000 kg/hr),2,Scenario,Optimal Rate (1000 kg/hr),1.825,243.33333333333334,True
2,Utilization at Optimum (%),0,,Compressor Utilization (%),0.175,93.19649267906786,True
2,Utilization at Optimum (%),1,,Compressor Utilization (%),1.175,94.04975851875975,True
2,Utilization at Optimum (%),2,,Compressor Utilization (%),2.175,94.55670326878881,True
