panel,series,point,x_label,y_label,x,y,finite
1,Curve 1,0,Flow Rate (tonnes/hr),Pressure Drop (bar),10.0,0.3547248651697288,True
1,Curve 1,1,Flow Rate (tonnes/hr),Pressure Drop (bar),20.0,1.125014301179263,True
1,Curve 1,2,Flow Rate (tonnes/hr),Pressure Drop (bar),30.0,3.2178656904327596,True
1,Curve 1,3,Flow Rate (tonnes/hr),Pressure Drop (bar),40.0,5.717320036748006,True
1,Curve 1,4,Flow Rate (tonnes/hr),Pressure Drop (bar),50.0,9.110707046940774,True
1,Curve 1,5,Flow Rate (tonnes/hr),Pressure Drop (bar),60.0,13.666930230404759,True
1,Curve 1,6,Flow Rate (tonnes/hr),Pressure Drop (bar),70.0,19.614822227051505,True
1,Curve 1,7,Flow Rate (tonnes/hr),Pressure Drop (bar),80.0,27.037034064488978,True
1,Curve 1,8,Flow Rate (tonnes/hr),Pressure Drop (bar),90.0,37.89950957196155,True
1,Curve 1,9,Flow Rate (tonnes/hr),Pressure Drop (bar),100.0,55.30890777661914,True
