branch,original_getter,point_index,T_K,T_C,P_bara,valid
Dew boundary,dewT,0,478.7556690955511,205.60566909555115,1.1051709180756477,True
Dew boundary,dewT,1,481.26651619529616,208.11651619529619,1.2214027581601699,True
Dew boundary,dewT,2,483.8054067622713,210.6554067622713,1.3498588075760032,True
Dew boundary,dewT,3,486.3722913057278,213.22229130572782,1.4918246976412703,True
Dew boundary,dewT,4,489.09825583105436,215.94825583105438,1.6570324594275647,True
Dew boundary,dewT,5,492.12704288652,218.97704288652,1.859616050071627,True
Dew boundary,dewT,6,495.49446456048673,222.34446456048676,2.1106896366582597,True
Dew boundary,dewT,7,499.240533991446,226.09053399144602,2.4255116605943616,True
Dew boundary,dewT,8,503.4096576145934,230.25965761459344,2.825349309300704,True
Dew boundary,dewT,9,508.05055327714217,234.9005532771422,3.340331821374506,True
Dew boundary,dewT,10,513.2156255152805,240.06562551528054,4.013903526830259,True
Dew boundary,dewT,11,518.9593072413342,245.80930724133418,4.909926174351252,True
Dew boundary,dewT,12,525.334459301368,252.18445930136807,6.1242878973491,True
Dew boundary,dewT,13,532.3851049484091,259.2351049484091,7.804424512992046,True
Dew boundary,dewT,14,540.132107530822,266.9821075308221,10.183278465651355,True
Dew boundary,dewT,15,548.5447381334083,275.3947381334083,13.64091813116964,True
Dew boundary,dewT,16,557.482265280487,284.33226528048704,18.822641563664906,True
Dew boundary,dewT,17,566.5657192993802,293.41571929938027,26.882753309362855,True
Dew boundary,dewT,18,573.421027667778,300.27102766777807,36.97604549607162,True
Dew boundary,dewT,19,577.3629516012886,304.21295160128864,47.0860970684795,True
Dew boundary,dewT,20,579.4209630800597,306.2709630800597,57.20490877964551,True
Dew boundary,dewT,21,580.1393105079019,306.9893105079019,67.32782389710147,True
Dew boundary,dewT,22,579.8505333388972,306.70053333889723,77.32782389710147,True
Dew boundary,dewT,23,578.7713233882366,305.62132338823665,87.32782389710142,True
Dew boundary,dewT,24,577.037791334904,303.887791334904,97.32782389710141,True
Dew boundary,dewT,25,574.7456014809785,301.59560148097853,107.32782389710137,True
Dew boundary,dewT,26,571.9635477652337,298.8135477652337,117.32782389710138,True
Dew boundary,dewT,27,568.7416270949177,295.5916270949177,127.32782389710134,True
Dew boundary,dewT,28,565.1160425688382,291.96604256883825,137.32782389710135,True
Dew boundary,dewT,29,561.1123805138423,287.9623805138423,147.32782389710127,True
Dew boundary,dewT,30,556.7476316472973,283.59763164729736,157.32782389710124,True
Dew boundary,dewT,31,552.2125606354198,279.0625606354198,166.9569515981376,True
Dew boundary,dewT,32,547.3519760217505,274.2019760217505,176.59069135455798,True
Dew boundary,dewT,33,542.1644704073051,269.0144704073051,186.2255327533967,True
Dew boundary,dewT,34,536.6433123021965,263.4933123021965,195.85790065923544,True
Dew boundary,dewT,35,530.7759651677827,257.62596516778274,205.48399490039955,True
Dew boundary,dewT,36,524.5432033439704,251.3932033439704,215.09959377612614,True
Dew boundary,dewT,37,517.9176805369448,244.7676805369448,224.69979233855807,True
Dew boundary,dewT,38,510.8616951111544,237.71169511115443,234.27862806883942,True
Dew boundary,dewT,39,503.32369801439637,230.1736980143964,243.82851054746615,True
Dew boundary,dewT,40,495.2327097626551,222.0827097626551,253.33929782693042,True
Dew boundary,dewT,41,486.48903308953516,213.33903308953518,262.79670039522676,True
Dew boundary,dewT,42,476.9479065590219,203.7979065590219,272.1793075613428,True
Dew boundary,dewT,43,466.80946299411244,193.65946299411246,281.10484024620894,True
Dew boundary,dewT,44,456.6920420244378,183.54204202443782,288.95534490363366,True
Dew boundary,dewT,45,446.5932876629816,173.44328766298162,295.74479080508587,True
Dew boundary,dewT,46,436.5114318827687,163.36143188276873,301.4774254453776,True
Dew boundary,dewT,47,426.44514168326003,153.29514168326006,306.1498706740119,True
Dew boundary,dewT,48,416.39342274721224,143.24342274721226,309.7525444180709,True
Dew boundary,dewT,49,406.3555594680715,133.2055594680715,312.2706453038137,True
Dew boundary,dewT,50,396.3310799130076,123.18107991300764,313.68484580363946,True
