branch,original_getter,point_index,T_K,T_C,P_bara,valid
Dew boundary,dewT,0,250.17870567048374,-22.97129432951624,1.1051709180756477,True
Dew boundary,dewT,1,251.54495763983354,-21.605042360166436,1.2214027581601699,True
Dew boundary,dewT,2,252.92630897504728,-20.2236910249527,1.3498588075760032,True
Dew boundary,dewT,3,254.3226933865666,-18.827306613433365,1.4918246976412703,True
Dew boundary,dewT,4,255.87594533070418,-17.274054669295793,1.6652911949458864,True
Dew boundary,dewT,5,257.6006740209882,-15.549325979011769,1.8789092765212052,True
Dew boundary,dewT,6,259.5185559854565,-13.63144401454349,2.1451369264502724,True
Dew boundary,dewT,7,261.65197589722385,-11.498024102776128,2.4809718523194872,True
Dew boundary,dewT,8,264.02535025868343,-9.124649741316546,2.910245947771702,True
Dew boundary,dewT,9,266.6646987562465,-6.485301243753497,3.4669065434990594,True
Dew boundary,dewT,10,269.59660765597647,-3.553392344023507,4.20012510396272,True
Dew boundary,dewT,11,272.84606062489956,-0.3039393751004127,5.182385827355803,True
Dew boundary,dewT,12,276.4321574148047,3.282157414804715,6.5225080937071,True
Dew boundary,dewT,13,280.3598511146,7.209851114600042,8.386947363445088,True
Dew boundary,dewT,14,284.60403343370507,11.454033433705092,11.035108522616516,True
Dew boundary,dewT,15,289.07849124955675,15.928491249556771,14.878332639172973,True
Dew boundary,dewT,16,293.5737816236159,20.423781623615923,20.577729348215122,True
Dew boundary,dewT,17,297.6279983526634,24.477998352663406,29.19875521024263,True
Dew boundary,dewT,18,299.88137797904545,26.731377979045476,39.04317077025762,True
Dew boundary,dewT,19,300.47173594293196,27.32173594293198,48.86621361133268,True
Dew boundary,dewT,20,299.79926320776843,26.649263207768456,58.65174743758169,True
Dew boundary,dewT,21,298.0288473012745,24.878847301274504,68.37860596282658,True
Dew boundary,dewT,22,295.1787390533967,22.028739053396748,78.0132426923272,True
Dew boundary,dewT,23,291.12261529570657,17.97261529570659,87.49396527265174,True
Dew boundary,dewT,24,285.5011795650629,12.351179565062921,96.68569705836723,True
Dew boundary,dewT,25,279.3461832217062,6.196183221706235,103.54114698135015,True
Dew boundary,dewT,26,272.20894881017387,-0.941051189826112,108.48756051070838,True
Dew boundary,dewT,27,264.24434717315796,-8.905652826842015,110.95894158341035,True
Dew boundary,dewT,28,255.7048535154778,-17.445146484522184,110.53885604733419,True
Dew boundary,dewT,29,247.71546241760873,-25.434537582391243,107.53843539649327,True
Dew boundary,dewT,30,240.52005332964225,-32.629946670357725,102.8071819988202,True
Dew boundary,dewT,31,233.70688281450668,-39.44311718549329,96.6230849401484,True
Dew boundary,dewT,32,227.63927511978986,-45.51072488021012,89.7618519756387,True
Dew boundary,dewT,33,223.01585224819763,-50.134147751802345,83.70567909064509,True
Dew boundary,dewT,34,219.38113753627135,-53.768862463728624,78.46847879742056,True
Dew boundary,dewT,35,216.94077973291598,-56.20922026708399,74.74086191105955,True
Dew boundary,dewT,36,215.3492811969916,-57.80071880300838,72.237762432466,True
Dew boundary,dewT,37,214.30951646980668,-58.840483530193296,70.58616134771832,True
Dew boundary,dewT,38,213.595124264577,-59.55487573542297,69.45442722877233,True
Dew boundary,dewT,39,213.41904169728798,-59.730958302712,69.17720726150009,True
Dew boundary,dewT,40,213.30278309892958,-59.8472169010704,68.99474574928111,True
Dew boundary,dewT,41,213.1802126214057,-59.969787378594276,68.80294486317636,True
Dew boundary,dewT,42,213.0504612030603,-60.09953879693967,68.6006102583994,True
Dew boundary,dewT,43,213.00858204677306,-60.14141795322692,68.5354695239546,True
Dew boundary,dewT,44,nan,nan,nan,False
Bubble boundary,bubT,0,nan,nan,nan,False
Bubble boundary,bubT,1,212.97121733503317,-60.1787826649668,68.4774220252176,True
Bubble boundary,bubT,2,212.93044759353253,-60.21955240646744,68.4141631284656,True
Bubble boundary,bubT,3,212.88601296543175,-60.26398703456823,68.34531283037289,True
Bubble boundary,bubT,4,212.83731134576826,-60.31268865423172,68.2699675214764,True
Bubble boundary,bubT,5,212.78418729863878,-60.36581270136119,68.18792195390773,True
Bubble boundary,bubT,6,212.72607756810123,-60.423922431898745,68.09834900334805,True
Bubble boundary,bubT,7,212.66243183520388,-60.4875681647961,68.00045320233906,True
Bubble boundary,bubT,8,212.59260432627178,-60.557395673728195,67.89330625629523,True
Bubble boundary,bubT,9,212.51583068303253,-60.634169316967444,67.77581551293505,True
Bubble boundary,bubT,10,212.43119893708098,-60.718801062919,67.6466846594878,True
Bubble boundary,bubT,11,212.33761395648582,-60.81238604351415,67.50436615080044,True
Bubble boundary,bubT,12,212.23375457551091,-60.91624542448906,67.34700469308507,True
Bubble boundary,bubT,13,212.1180224906766,-61.03197750932338,67.17237109383363,True
Bubble boundary,bubT,14,211.98848254611622,-61.16151745388376,66.977786748798,True
Bubble boundary,bubT,15,211.84279421691662,-61.30720578308336,66.76003947146583,True
Bubble boundary,bubT,16,211.6781347422699,-61.47186525773009,66.51529245982432,True
Bubble boundary,bubT,17,211.4911150090467,-61.65888499095328,66.23898923128266,True
Bubble boundary,bubT,18,211.27769012817484,-61.87230987182514,65.92575857603495,True
Bubble boundary,bubT,19,211.03306748275222,-62.11693251724776,65.56932465309876,True
Bubble boundary,bubT,20,210.75161577246047,-62.39838422753951,65.1624281400836,True
Bubble boundary,bubT,21,210.42677902690434,-62.723220973095636,64.69676457728025,True
Bubble boundary,bubT,22,210.05099947726208,-63.099000522737896,64.16294549320655,True
Bubble boundary,bubT,23,209.61565231379146,-63.53434768620852,63.55048643715465,True
Bubble boundary,bubT,24,209.11099350337466,-64.03900649662532,62.84782374498237,True
Bubble boundary,bubT,25,208.52611920710984,-64.62388079289013,62.042359503717655,True
Bubble boundary,bubT,26,207.84893106320004,-65.30106893679994,61.12053122697954,True
Bubble boundary,bubT,27,207.0660985685516,-66.08390143144837,60.06790363767169,True
Bubble boundary,bubT,28,206.16300533880204,-66.98699466119794,58.869281482980796,True
Bubble boundary,bubT,29,205.12366476112248,-68.0263352388775,57.50885066020798,True
Bubble boundary,bubT,30,203.93059155005494,-69.21940844994504,55.970368135892045,True
Bubble boundary,bubT,31,202.56462121162554,-70.58537878837444,54.23744066746366,True
Bubble boundary,bubT,32,201.00468016384212,-72.14531983615785,52.29395658697061,True
Bubble boundary,bubT,33,199.22752573371756,-73.92247426628242,50.12476066407766,True
Bubble boundary,bubT,34,197.2074972404415,-75.94250275955847,47.71668356902047,True
Bubble boundary,bubT,35,194.91634593862602,-78.23365406137395,45.06004583705299,True
Bubble boundary,bubT,36,192.32324096930137,-80.82675903069861,42.150738928371176,True
Bubble boundary,bubT,37,189.39507776077605,-83.75492223922393,38.99292657574862,True
Bubble boundary,bubT,38,186.09723982441454,-87.05276017558543,35.602289318471875,True
Bubble boundary,bubT,39,182.3949769172965,-90.75502308270347,32.009537852026924,True
Bubble boundary,bubT,40,178.2555501269032,-94.89444987309679,28.263644655003816,True
Bubble boundary,bubT,41,173.6512407244472,-99.49875927555277,24.43392005475669,True
Bubble boundary,bubT,42,168.56320470599277,-104.5867952940072,20.60977867402109,True
Bubble boundary,bubT,43,162.98596242624865,-110.16403757375133,16.896970463599217,True
Bubble boundary,bubT,44,156.932043549354,-116.21795645064597,13.409408415168297,True
Bubble boundary,bubT,45,150.43600012822833,-122.71399987177165,10.256697104783697,True
Bubble boundary,bubT,46,143.5567496924853,-129.59325030751467,7.529021731580181,True
Bubble boundary,bubT,47,136.3771651144079,-136.7728348855921,5.282754073182183,True
Bubble boundary,bubT,48,129.00014539443973,-144.14985460556025,3.5310917923185077,True
Bubble boundary,bubT,49,121.54114271401994,-151.60885728598004,2.2433267427367864,True
Bubble boundary,bubT,50,114.11813459209117,-159.0318654079088,1.3536678408328242,True
