branch,original_getter,point_index,T_K,T_C,P_bara,valid
Dew boundary,dewT,0,293.28109714662645,20.131097146626473,1.1051709180756477,True
Dew boundary,dewT,1,295.01991356618953,21.869913566189553,1.2214027581601699,True
Dew boundary,dewT,2,296.7808520695704,23.630852069570437,1.3498588075760032,True
Dew boundary,dewT,3,298.5640348825858,25.414034882585838,1.4918246976412703,True
Dew boundary,dewT,4,300.53883566072017,27.38883566072019,1.664148015090987,True
Dew boundary,dewT,5,302.7375244649717,29.58752446497175,1.8763273103485938,True
Dew boundary,dewT,6,305.18754163340304,32.037541633403066,2.140451073913881,True
Dew boundary,dewT,7,307.9197348801991,34.76973488019911,2.4731817388299415,True
Dew boundary,dewT,8,310.9685476028223,37.81854760282232,2.8978276747437173,True
Dew boundary,dewT,9,314.3719799193371,41.221979919337116,3.4475081793438935,True
Dew boundary,dewT,10,318.17108398530905,45.021083985309076,4.170069571407108,True
Dew boundary,dewT,11,322.4085509303319,49.25855093033192,5.135855597879996,True
Dew boundary,dewT,12,327.1255617760314,53.97556177603144,6.450213931619574,True
Dew boundary,dewT,13,332.355331214154,59.205331214154,8.274005340583628,True
Dew boundary,dewT,14,338.110290140709,64.96029014070905,10.857884562482825,True
Dew boundary,dewT,15,344.35676354422304,71.20676354422307,14.600702772859202,True
Dew boundary,dewT,16,350.9641787144901,77.81417871449014,20.15079740117101,True
Dew boundary,dewT,17,357.5995637489712,84.44956374897123,28.58397063815345,True
Dew boundary,dewT,18,362.40492774978503,89.25492774978505,38.49952100162737,True
Dew boundary,dewT,19,365.210639481685,92.06063948168503,48.42355117430651,True
Dew boundary,dewT,20,366.6245267576301,93.47452675763014,58.348343619617204,True
Dew boundary,dewT,21,366.9682073713494,93.81820737134944,68.26830639970645,True
Dew boundary,dewT,22,366.42458532045276,93.27458532045279,78.17835309690979,True
Dew boundary,dewT,23,365.0975193593573,91.94751935935733,88.07301000552152,True
Dew boundary,dewT,24,363.0383264172113,89.88832641721132,97.94562251403755,True
Dew boundary,dewT,25,360.25665839371186,87.10665839371188,107.78732000407139,True
Dew boundary,dewT,26,356.72146970446016,83.57146970446018,117.58531892722895,True
Dew boundary,dewT,27,352.3521406067962,79.2021406067962,127.31971591079746,True
Dew boundary,dewT,28,347.4355906783625,74.2855906783625,136.23800112763146,True
Dew boundary,dewT,29,341.56312837368915,68.41312837368918,144.87959641544393,True
Dew boundary,dewT,30,334.6585130757461,61.50851307574612,152.89996505829097,True
Dew boundary,dewT,31,326.6585057509843,53.50850575098434,159.86216741717575,True
Dew boundary,dewT,32,317.52219254397755,44.372192543977576,165.23082267133756,True
Dew boundary,dewT,33,307.2710746159178,34.12107461591785,168.37260834254286,True
Dew boundary,dewT,34,297.0998824594743,23.94988245947434,168.738194821112,True
Dew boundary,dewT,35,286.9959860017553,13.845986001755307,166.54075996398603,True
Dew boundary,dewT,36,276.95622284094173,3.806222840941757,161.9111353878931,True
Dew boundary,dewT,37,266.9850010589206,-6.164998941079375,154.93546691072038,True
Dew boundary,dewT,38,257.09534752146584,-16.054652478534138,145.68033729420924,True
Dew boundary,dewT,39,247.31318737901438,-25.836812620985597,134.2178171290664,True
Dew boundary,dewT,40,239.61750363397374,-33.53249636602624,123.56413265841393,True
Dew boundary,dewT,41,232.93404323323162,-40.21595676676836,113.12407571377581,True
Dew boundary,dewT,42,nan,nan,nan,False
Dew boundary,dewT,43,202.21438476199583,-70.93561523800415,74.20701261399485,True
Dew boundary,dewT,44,202.2884934510606,-70.86150654893939,73.98929352393009,True
Dew boundary,dewT,45,202.32592098342374,-70.82407901657623,73.8796609906738,True
Dew boundary,dewT,46,202.36360749943472,-70.78639250056526,73.7695198928383,True
Dew boundary,dewT,47,202.40534200970012,-70.74465799029986,73.64776400331286,True
Dew boundary,dewT,48,202.41918338983234,-70.73081661016764,73.60744965995222,True
Dew boundary,dewT,49,202.4316686914795,-70.71833130852048,73.57110870335555,True
Dew boundary,dewT,50,202.43579533885736,-70.71420466114262,73.55910456378702,True
Dew boundary,dewT,51,nan,nan,nan,False
Bubble boundary,bubT,0,nan,nan,nan,False
Bubble boundary,bubT,1,110.2492608906617,-162.90073910933828,1.1051709180756477,True
Bubble boundary,bubT,2,111.64770420415593,-161.50229579584405,1.2214027581601699,True
Bubble boundary,bubT,3,113.07485507412838,-160.0751449258716,1.3498588075760032,True
Bubble boundary,bubT,4,114.53185311723878,-158.6181468827612,1.4918246976412703,True
Bubble boundary,bubT,5,114.78932476985396,-158.360675230146,1.5180936244383745,True
Bubble boundary,bubT,6,115.07377840059507,-158.0762215994049,1.5475380734955442,True
Bubble boundary,bubT,7,115.3881775374951,-157.76182246250488,1.5806037352410622,True
Bubble boundary,bubT,8,115.73583971722847,-157.4141602827715,1.6178123743623962,True
Bubble boundary,bubT,9,116.12048460466525,-157.02951539533473,1.659777728801636,True
Bubble boundary,bubT,10,116.54628978099366,-156.6037102190063,1.7072253700780438,True
Bubble boundary,bubT,11,117.01795561925425,-156.13204438074573,1.7610176652317213,True
Bubble boundary,bubT,12,117.54078095669031,-155.60921904330968,1.8221853513766044,True
Bubble boundary,bubT,13,118.12075162478133,-155.02924837521863,1.8919677383784361,True
Bubble boundary,bubT,14,118.76464432109299,-154.385355678907,1.9718642463679708,True
Bubble boundary,bubT,15,119.4801488133097,-153.66985118669027,2.06370093791098,True
