Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig11_1_water_content.png,1,30 bara,Water Content in Gas (ppm molar),339.5151954907737,7130.547470912068,12,0
fig11_1_water_content.png,1,60 bara,Water Content in Gas (ppm molar),195.47088368334357,3828.5548665410947,12,0
fig11_1_water_content.png,1,100 bara,Water Content in Gas (ppm molar),144.32950568916405,2533.0237166282573,12,0
fig11_1_water_content.png,1,150 bara,Water Content in Gas (ppm molar),125.42711662541693,1910.7044488377123,12,0
fig11_1_water_content.png,1,Typical pipeline spec,Water Content in Gas (ppm molar),50.0,50.0,2,0
fig11_2_jt_cooling.png,1,Outlet Temperature,JT Outlet Temperature (°C),-15.16269402079837,25.004815446077657,23,0
fig11_2_jt_cooling.png,1,Curve 2,JT Outlet Temperature (°C),0.0,0.0,2,0
fig11_2_jt_cooling.png,2,Temperature Drop,Temperature Drop ΔT (°C),4.995184553922343,45.16269402079837,23,0
fig11_3_turbo_expander_profile.png,1,Temperature,Temperature (°C),-23.085869849302156,44.274949546283494,5,0
fig11_3_turbo_expander_profile.png,2,Pressure,Pressure (bara),30.0,100.0,5,0
fig11_4_dewpoint_control.png,1,C3+ in gas,Heavy Hydrocarbon Content (mol%),2.075996770550473,8.445398608746583,15,0
fig11_4_dewpoint_control.png,1,C2+ in gas,Heavy Hydrocarbon Content (mol%),7.466932006388753,16.418261400631014,15,0
fig11_4_dewpoint_control.png,1,Typical C3+ spec (~5 mol%),Heavy Hydrocarbon Content (mol%),5.0,5.0,2,0
