Flow (t/hr),WHP 40 bara,WHP 60 bara,WHP 80 bara,WHP 100 bara,WHP 120 bara
5.0,53.79150390625,79.80712890625,113.82568359375,145.81298828125,175.82763671875
10.0,59.2901611328125,84.2138671875,116.56494140625,147.406005859375,176.62109375
15.0,67.301025390625,92.05322265625,122.022705078125,149.98779296875,179.44580078125
20.0,76.9268798828125,103.3135986328125,131.361083984375,155.609130859375,182.4609375
25.0,93.01910400390625,115.9075927734375,143.0340576171875,163.592529296875,188.07861328125
30.0,109.77783203125,130.3570556640625,155.869140625,174.67041015625,196.14013671875
35.0,128.98468017578125,149.735107421875,169.5654296875,186.810302734375,206.470947265625
40.0,146.59576416015625,163.99322509765625,183.88427734375,199.79248046875,218.16650390625
45.0,165.43411254882812,183.06976318359375,198.7115478515625,213.48876953125,230.703125
50.0,180.53298950195312,198.45855712890625,213.953857421875,227.752685546875,243.93798828125
55.0,201.05361938476562,214.1778564453125,229.53857421875,242.5201416015625,257.8033447265625
60.0,216.92153930664062,230.1580810546875,245.455322265625,257.72552490234375,272.215576171875
