Iteration,Rate,RateUnit,Feasible,Score,Export Comp_Util,HP Sep_Util
1,183688.1039375368,kg/hr,true,0.0,0.7653670997397363,0.7621768519439592
2,266311.8960624632,kg/hr,false,0.0,1.1096329002602667,1.1050076636706825
3,132623.79212492637,kg/hr,true,0.0,0.552599133853861,0.5502957579061278
4,101064.3118126104,kg/hr,true,0.0,0.4211012992192111,0.41934604021723565
5,81559.48031231598,kg/hr,true,0.0,0.3398311679679836,0.33841466386829683
6,69504.83150029441,kg/hr,true,0.0,0.2896034645845591,0.2883963225283434
7,62054.64881202155,kg/hr,true,0.0,0.25856103671675656,0.2574832875193581
8,57450.182688272864,kg/hr,true,0.0,0.23937576120113774,0.23837798118838982
9,54604.46612374869,kg/hr,true,0.0,0.2275186088489539,0.22657025251037297
10,52845.71656452417,kg/hr,true,0.0,0.2201904856855186,0.2192726748574215
11,51758.74955922452,kg/hr,true,0.0,0.2156614564967689,0.2147625238323559
12,51086.96700529965,kg/hr,true,0.0,0.21286236252208218,0.21197509720447014
13,50671.782553924866,kg/hr,true,0.0,0.21113242730802084,0.2102523728072901
14,50415.18445137478,kg/hr,true,0.0,0.21006326854739452,0.20918767057658438
15,50256.59810255009,kg/hr,true,0.0,0.20940249209395922,0.20852964841011037
16,50158.58634882469,kg/hr,true,0.0,0.2089941097867695,0.20812296834587854
