Iteration,Rate,RateUnit,BottleneckName,BottleneckUtilization,UtilizationWithinLimits,HardConstraintsOk,Feasible,Score
1,183688.1039375368,kg/hr,Export Comp,0.7653670997397363,true,true,true,0.0
2,266311.8960624632,kg/hr,Export Comp,1.1096329002602667,false,true,false,0.0
3,132623.79212492637,kg/hr,Export Comp,0.552599133853861,true,true,true,0.0
4,101064.3118126104,kg/hr,Export Comp,0.4211012992192111,true,true,true,0.0
5,81559.48031231598,kg/hr,Export Comp,0.3398311679679836,true,true,true,0.0
6,69504.83150029441,kg/hr,Export Comp,0.2896034645845591,true,true,true,0.0
7,62054.64881202155,kg/hr,Export Comp,0.25856103671675656,true,true,true,0.0
8,57450.182688272864,kg/hr,Export Comp,0.23937576120113774,true,true,true,0.0
9,54604.46612374869,kg/hr,Export Comp,0.2275186088489539,true,true,true,0.0
10,52845.71656452417,kg/hr,Export Comp,0.2201904856855186,true,true,true,0.0
11,51758.74955922452,kg/hr,Export Comp,0.2156614564967689,true,true,true,0.0
12,51086.96700529965,kg/hr,Export Comp,0.21286236252208218,true,true,true,0.0
13,50671.782553924866,kg/hr,Export Comp,0.21113242730802084,true,true,true,0.0
14,50415.18445137478,kg/hr,Export Comp,0.21006326854739452,true,true,true,0.0
15,50256.59810255009,kg/hr,Export Comp,0.20940249209395922,true,true,true,0.0
16,50158.58634882469,kg/hr,Export Comp,0.2089941097867695,true,true,true,0.0
