Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch30_fuel_consumption.png,1,Curve 1,Fuel Gas Rate (kg/hr),1714.2857142857142,5142.857142857143,20,0
ch30_fuel_consumption.png,2,Curve 1,Specific Fuel (kg/hr per MW),205.71428571428572,342.85714285714283,20,0
ch30_fuel_consumption.png,3,Efficiency,Thermal Efficiency (%),21.0,35.0,20,0
ch30_gt_ambient_temp.png,1,Available GT Power,Power (MW),39.5,52.5,30,0
ch30_gt_ambient_temp.png,1,Platform Demand (33.0 MW),Power (MW),33.0,33.0,2,0
ch30_gt_ambient_temp.png,1,ISO T = 15.0°C,Power (MW),0.0,1.0,2,0
ch30_co2_emissions.png,1,Bars 1,Annual CO₂ Emissions (tonnes/yr),93449.53469387758,163536.6857142857,7,0
