panel,series,point,x_label,y_label,x,y,finite
1,NeqSim tubing + reservoir PI,0,Production rate (t/hr),Wellhead pressure (bara),5.0,159.1483973645036,True
1,NeqSim tubing + reservoir PI,1,Production rate (t/hr),Wellhead pressure (bara),10.0,153.7663654166253,True
1,NeqSim tubing + reservoir PI,2,Production rate (t/hr),Wellhead pressure (bara),15.0,147.75823675826766,True
1,NeqSim tubing + reservoir PI,3,Production rate (t/hr),Wellhead pressure (bara),20.0,141.1959320185256,True
1,NeqSim tubing + reservoir PI,4,Production rate (t/hr),Wellhead pressure (bara),25.0,133.86131091852374,True
1,NeqSim tubing + reservoir PI,5,Production rate (t/hr),Wellhead pressure (bara),30.0,125.94446948354144,True
1,NeqSim tubing + reservoir PI,6,Production rate (t/hr),Wellhead pressure (bara),35.0,117.17048964923907,True
1,NeqSim tubing + reservoir PI,7,Production rate (t/hr),Wellhead pressure (bara),40.0,107.31168561972855,True
1,NeqSim tubing + reservoir PI,8,Production rate (t/hr),Wellhead pressure (bara),45.0,96.32845958133896,True
1,NeqSim tubing + reservoir PI,9,Production rate (t/hr),Wellhead pressure (bara),50.0,83.58327458635772,True
1,NeqSim tubing + reservoir PI,10,Production rate (t/hr),Wellhead pressure (bara),55.0,68.18688355394754,True
1,NeqSim tubing + reservoir PI,11,Production rate (t/hr),Wellhead pressure (bara),60.0,47.67171481598588,True
1,NeqSim tubing + reservoir PI,12,Production rate (t/hr),Wellhead pressure (bara),65.0,7.807884769039227,True
1,NeqSim tubing + reservoir PI,13,Production rate (t/hr),Wellhead pressure (bara),70.0,nan,False
1,NeqSim tubing + reservoir PI,14,Production rate (t/hr),Wellhead pressure (bara),75.0,nan,False
1,NeqSim tubing + reservoir PI,15,Production rate (t/hr),Wellhead pressure (bara),80.0,nan,False
1,NeqSim tubing + reservoir PI,16,Production rate (t/hr),Wellhead pressure (bara),85.0,nan,False
1,NeqSim tubing + reservoir PI,17,Production rate (t/hr),Wellhead pressure (bara),90.0,nan,False
1,NeqSim tubing + reservoir PI,18,Production rate (t/hr),Wellhead pressure (bara),95.0,nan,False
1,Wellhead boundary (50 bara),0,Production rate (t/hr),Wellhead pressure (bara),0.0,50.0,True
1,Wellhead boundary (50 bara),1,Production rate (t/hr),Wellhead pressure (bara),1.0,50.0,True
1,Curve 3,0,Production rate (t/hr),Wellhead pressure (bara),59.51840773639596,49.999372004365014,True
2,IPR bottomhole pressure,0,Production rate (t/hr),Bottomhole pressure (bara),5.0,243.75,True
2,IPR bottomhole pressure,1,Production rate (t/hr),Bottomhole pressure (bara),10.0,237.5,True
2,IPR bottomhole pressure,2,Production rate (t/hr),Bottomhole pressure (bara),15.0,231.25,True
2,IPR bottomhole pressure,3,Production rate (t/hr),Bottomhole pressure (bara),20.0,225.0,True
2,IPR bottomhole pressure,4,Production rate (t/hr),Bottomhole pressure (bara),25.0,218.75,True
2,IPR bottomhole pressure,5,Production rate (t/hr),Bottomhole pressure (bara),30.0,212.5,True
2,IPR bottomhole pressure,6,Production rate (t/hr),Bottomhole pressure (bara),35.0,206.25,True
2,IPR bottomhole pressure,7,Production rate (t/hr),Bottomhole pressure (bara),40.0,200.0,True
2,IPR bottomhole pressure,8,Production rate (t/hr),Bottomhole pressure (bara),45.0,193.75,True
2,IPR bottomhole pressure,9,Production rate (t/hr),Bottomhole pressure (bara),50.0,187.5,True
2,IPR bottomhole pressure,10,Production rate (t/hr),Bottomhole pressure (bara),55.0,181.25,True
2,IPR bottomhole pressure,11,Production rate (t/hr),Bottomhole pressure (bara),60.0,175.0,True
2,IPR bottomhole pressure,12,Production rate (t/hr),Bottomhole pressure (bara),65.0,168.75,True
2,IPR bottomhole pressure,13,Production rate (t/hr),Bottomhole pressure (bara),70.0,162.5,True
2,IPR bottomhole pressure,14,Production rate (t/hr),Bottomhole pressure (bara),75.0,156.25,True
2,IPR bottomhole pressure,15,Production rate (t/hr),Bottomhole pressure (bara),80.0,150.0,True
2,IPR bottomhole pressure,16,Production rate (t/hr),Bottomhole pressure (bara),85.0,143.75,True
2,IPR bottomhole pressure,17,Production rate (t/hr),Bottomhole pressure (bara),90.0,137.5,True
2,IPR bottomhole pressure,18,Production rate (t/hr),Bottomhole pressure (bara),95.0,131.25,True
2,Solved rate 59.52 t/hr,0,Production rate (t/hr),Bottomhole pressure (bara),59.51840773639596,175.60199032950504,True
