Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch17_pipeline_profiles.png,1,Curve 1,Pressure (bara),177.1846845189831,180.0,31,0
ch17_pipeline_profiles.png,1,Arrival: 177.2 bara,Pressure (bara),177.1846845189831,177.1846845189831,2,0
ch17_pipeline_profiles.png,2,Curve 1,Temperature (C),3.9781642480388655,40.0,31,0
ch17_pipeline_profiles.png,2,Seabed T = 4 C,Temperature (C),4.0,4.0,2,0
ch17_diameter_sensitivity.png,1,Curve 1,Total Pressure Drop (bar),0.22951823422243933,8.012105494897469,10,0
ch17_diameter_sensitivity.png,1,Illustrative dP limit = 50 bar,Total Pressure Drop (bar),50.0,50.0,2,0
ch17_diameter_sensitivity.png,2,Curve 1,Arrival Pressure (bara),171.98789450510253,179.77048176577756,10,0
ch17_diameter_sensitivity.png,2,Min arrival P = 70 bara,Arrival Pressure (bara),70.0,70.0,2,0
