Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch27_manifold_pressure_sweep.png,1,Well A,Well Rate (1000 kg/hr),20.349264705882348,32.48161764705881,20,0
ch27_manifold_pressure_sweep.png,1,Well B,Well Rate (1000 kg/hr),14.143920595533501,27.79156327543425,20,0
ch27_manifold_pressure_sweep.png,1,Well C,Well Rate (1000 kg/hr),9.028213166144196,22.821316614420056,20,0
ch27_manifold_pressure_sweep.png,1,Well D,Well Rate (1000 kg/hr),4.197530864197532,17.777777777777786,20,0
ch27_manifold_pressure_sweep.png,2,Curve 1,Total Production (1000 kg/hr),47.71892933175758,100.8722753146909,20,0
ch27_manifold_pressure_sweep.png,2,Design (80.0 bara),Total Production (1000 kg/hr),0.0,1.0,2,0
ch27_choke_sensitivity.png,1,Well A rate,Rate (1000 kg/hr),14.558823529411764,29.999999999999996,20,0
ch27_choke_sensitivity.png,2,Well B rate,Rate (1000 kg/hr),7.630272952853599,25.0,20,0
ch27_choke_sensitivity.png,3,Well C rate,Rate (1000 kg/hr),2.4451410658307178,20.0,20,0
ch27_choke_sensitivity.png,4,Well D rate,Rate (1000 kg/hr),0.02221604938271625,14.999999999999998,20,0
