Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch13_head_vs_flow.png,1,7125 RPM (75%),Polytropic Head [kJ/kg],46.98669574824921,73.8362361758202,5,0
ch13_head_vs_flow.png,1,7838 RPM (82%),Polytropic Head [kJ/kg],56.853901855381544,89.34184577274243,5,0
ch13_head_vs_flow.png,1,8550 RPM (90%),Polytropic Head [kJ/kg],67.66084187747887,106.3241800931811,5,0
ch13_head_vs_flow.png,1,9262 RPM (98%),Polytropic Head [kJ/kg],79.40751581454118,124.78323913713618,5,0
ch13_head_vs_flow.png,1,9975 RPM (105%),Polytropic Head [kJ/kg],92.09392366656847,144.7190229046076,5,0
ch13_head_vs_flow.png,1,Surge line,Polytropic Head [kJ/kg],73.8362361758202,144.7190229046076,5,0
ch13_head_vs_flow.png,1,Design point,Polytropic Head [kJ/kg],119.33129078920436,119.33129078920436,1,0
ch13_efficiency_vs_flow.png,1,7125 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_efficiency_vs_flow.png,1,7838 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_efficiency_vs_flow.png,1,8550 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_efficiency_vs_flow.png,1,9262 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_efficiency_vs_flow.png,1,9975 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_efficiency_vs_flow.png,1,Design point,Polytropic Efficiency [%],78.0,78.0,1,0
ch13_operating_envelope.png,1,Curve 1,Polytropic Head [kJ/kg],46.98669574824921,73.8362361758202,5,0
ch13_operating_envelope.png,1,Curve 2,Polytropic Head [kJ/kg],56.853901855381544,89.34184577274243,5,0
ch13_operating_envelope.png,1,Curve 3,Polytropic Head [kJ/kg],67.66084187747887,106.3241800931811,5,0
ch13_operating_envelope.png,1,Curve 4,Polytropic Head [kJ/kg],79.40751581454118,124.78323913713618,5,0
ch13_operating_envelope.png,1,Curve 5,Polytropic Head [kJ/kg],92.09392366656847,144.7190229046076,5,0
ch13_operating_envelope.png,1,Surge line,Polytropic Head [kJ/kg],73.8362361758202,144.7190229046076,5,0
ch13_operating_envelope.png,1,Anti-surge control line,Polytropic Head [kJ/kg],73.8362361758202,144.7190229046076,5,0
ch13_operating_envelope.png,1,Design point,Polytropic Head [kJ/kg],119.33129078920436,119.33129078920436,1,0
ch13_operating_envelope.png,2,7125 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_operating_envelope.png,2,7838 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_operating_envelope.png,2,8550 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_operating_envelope.png,2,9262 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_operating_envelope.png,2,9975 RPM,Polytropic Efficiency [%],66.3,78.0,5,0
ch13_operating_envelope.png,2,Design efficiency,Polytropic Efficiency [%],78.0,78.0,2,0
ch13_operating_envelope.png,2,Curve 7,Polytropic Efficiency [%],78.0,78.0,1,0
